Weather_station	Elevation	Year	Precipitation	Mean_temperature
Altrei	1216	1980	944.8	8.5
Altrei	1216	1981	838.3	8.5
Altrei	1216	1982	770.3	9.0
Altrei	1216	1983	775.3	8.2
Altrei	1216	1984	905.9	6.6
Altrei	1216	1985	866.5	7.5
Altrei	1216	1986	861.1	7.9
Altrei	1216	1987	1064.6	7.7
Altrei	1216	1988	678.1	8.0
Altrei	1216	1989	988	8.5
Altrei	1216	1990	917.1	8.4
Altrei	1216	1991	762.7	7.5
Altrei	1216	1992	1078.8	8.4
Altrei	1216	1993	873.5	7.8
Altrei	1216	1994	817.4	8.8
Altrei	1216	1995	655.2	7.7
Altrei	1216	1996	1069	7.1
Altrei	1216	1997	812.2	8.6
Altrei	1216	1998	941.3	8.0
Altrei	1216	1999	1013.2	7.8
Altrei	1216	2000	1069.5	8.4
Altrei	1216	2001	879	8.0
Altrei	1216	2002	1080.6	8.3
Altrei	1216	2003	670.8	9.0
Altrei	1216	2004	694.8	8.3
Altrei	1216	2005	656.2	7.9
Altrei	1216	2006	675	9.4
Altrei	1216	2007	724	9.2
Altrei	1216	2008	1108.8	8.6
Altrei	1216	2009	938.6	8.7
Altrei	1216	2010	966	7.5
Altrei	1216	2011	667	9.5
Antholz-Mittertal	1250	1980	772.2	5.7
Antholz-Mittertal	1250	1981	823.7	6.3
Antholz-Mittertal	1250	1982	819	7.0
Antholz-Mittertal	1250	1983	828.2	7.1
Antholz-Mittertal	1250	1984	737.2	6.0
Antholz-Mittertal	1250	1985	958.3	6.4
Antholz-Mittertal	1250	1986	817.8	6.7
Antholz-Mittertal	1250	1987	943	6.7
Antholz-Mittertal	1250	1988	797.5	7.3
Antholz-Mittertal	1250	1989	879.3	7.7
Antholz-Mittertal	1250	1990	1011.6	7.5
Antholz-Mittertal	1250	1991	899.8	6.8
Antholz-Mittertal	1250	1992	828.4	7.4
Antholz-Mittertal	1250	1993	925.7	7.1
Antholz-Mittertal	1250	1994	849.7	8.4
Antholz-Mittertal	1250	1995	800.3	7.9
Antholz-Mittertal	1250	1996	986	6.5
Antholz-Mittertal	1250	1997	899.9	7.1
Antholz-Mittertal	1250	1998	1007.5	6.8
Antholz-Mittertal	1250	1999	1126.5	6.4
Antholz-Mittertal	1250	2000	1197.4	7.3
Antholz-Mittertal	1250	2001	860.3	6.7
Antholz-Mittertal	1250	2002	977.7	7.4
Antholz-Mittertal	1250	2003	703	7.0
Antholz-Mittertal	1250	2004	781.2	6.5
Antholz-Mittertal	1250	2005	801.5	6.0
Antholz-Mittertal	1250	2006	856.1	7.0
Antholz-Mittertal	1250	2007	810.7	7.5
Antholz-Mittertal	1250	2008	1065.9	7.1
Antholz-Mittertal	1250	2009	937.5	7.1
Antholz-Mittertal	1250	2010	966.7	6.3
Antholz-Mittertal	1250	2011	865.8	7.8
Bozen	243	1980	543	11.3
